word	collection	value
commonwealth	shakespeare	12/686328
commonwealth	corpus	3611/35690052
scipio	country	1071/5574522
scipio	milton	5/332927
scipio	shakespeare	0
scipio	corpus	1619/35690052
zarago	country	123/5574522
zarago	milton	0
zarago	shakespeare	0
zarago	corpus	290/35690052
scots	country	1059/5574522
scots	milton	65/332927
scots	shakespeare	8/686328
scots	corpus	8998/35690052
marquess	country	1053/5574522
marquess	milton	7/332927
marquess	shakespeare	0
marquess	corpus	2818/35690052
granvell	country	92/5574522
granvell	milton	0
granvell	shakespeare	0
granvell	corpus	171/35690052
venice	country	1051/5574522
venice	milton	11/332927
venice	shakespeare	102/686328
venice	corpus	3771/35690052
catesby	country	92/5574522
catesby	milton	0
catesby	shakespeare	23/686328
catesby	corpus	151/35690052
thomaso	country	91/5574522
thomaso	milton	0
thomaso	shakespeare	0
thomaso	corpus	198/35690052
bound	country	1036/5574522
bound	milton	102/332927
bound	shakespeare	225/686328
bound	corpus	6925/35690052
oath	country	1032/5574522
oath	milton	75/332927
oath	shakespeare	180/686328
oath	corpus	5667/35690052
protestant	country	1025/5574522
protestant	milton	43/332927
protestant	shakespeare	0
protestant	corpus	5464/35690052
knights	country	1010/5574522
knights	milton	13/332927
knights	shakespeare	49/686328
knights	corpus	5449/35690052
archbishop	country	991/5574522
archbishop	milton	35/332927
archbishop	shakespeare	16/686328
archbishop	corpus	5738/35690052
madrid	country	971/5574522
madrid	milton	0
madrid	shakespeare	0
madrid	corpus	1788/35690052
edward	country	968/5574522
edward	milton	113/332927
edward	shakespeare	137/686328
edward	corpus	12606/35690052
sicily	country	952/5574522
sicily	milton	1/332927
sicily	shakespeare	1/686328
sicily	corpus	2495/35690052
cozco	country	143/5574522
cozco	milton	0
cozco	shakespeare	0
cozco	corpus	198/35690052
cardinals	country	938/5574522
cardinals	milton	2/332927
cardinals	shakespeare	10/686328
cardinals	corpus	3596/35690052
mazarine	country	142/5574522
mazarine	milton	5/332927
mazarine	shakespeare	0
mazarine	corpus	614/35690052
asdrubal	country	276/5574522
asdrubal	milton	0
asdrubal	shakespeare	0
asdrubal	corpus	337/35690052
majestie	country	927/5574522
majestie	milton	7/332927
majestie	shakespeare	4/686328
majestie	corpus	2820/35690052
agreement	country	918/5574522
agreement	milton	14/332927
agreement	shakespeare	4/686328
agreement	corpus	3990/35690052
proceed	country	917/5574522
proceed	milton	30/332927
proceed	shakespeare	61/686328
proceed	corpus	4181/35690052
valtolinians	country	60/5574522
valtolinians	milton	0
valtolinians	shakespeare	0
valtolinians	corpus	118/35690052
clergy	country	904/5574522
clergy	milton	29/332927
clergy	shakespeare	2/686328
clergy	corpus	4973/35690052
break	country	897/5574522
break	milton	34/332927
break	shakespeare	25/686328
break	corpus	3582/35690052
conscience	country	889/5574522
conscience	milton	50/332927
conscience	shakespeare	154/686328
conscience	corpus	5461/35690052
arro	country	261/5574522
arro	milton	0
arro	shakespeare	0
arro	corpus	332/35690052
netherlands	country	883/5574522
netherlands	milton	2/332927
netherlands	shakespeare	1/686328
netherlands	corpus	2908/35690052
burgos	country	261/5574522
burgos	milton	0
burgos	shakespeare	0
burgos	corpus	615/35690052
cortes	country	182/5574522
cortes	milton	0
cortes	shakespeare	0
cortes	corpus	685/35690052
cond	country	101/5574522
cond	milton	0
cond	shakespeare	3/686328
cond	corpus	519/35690052
assembly	country	873/5574522
assembly	milton	27/332927
assembly	shakespeare	16/686328
assembly	corpus	3760/35690052
rochefoucault	country	57/5574522
rochefoucault	milton	0
rochefoucault	shakespeare	0
rochefoucault	corpus	104/35690052
prejudice	country	870/5574522
prejudice	milton	10/332927
prejudice	shakespeare	0
prejudice	corpus	3201/35690052
