word	collection	value
chinois	corpus	863/35690052
coxinga	country	46/1780403
coxinga	milton	0
coxinga	shakespeare	0
coxinga	corpus	58/35690052
kiangus	country	24/1780403
kiangus	milton	0
kiangus	shakespeare	0
kiangus	corpus	24/35690052
clusij	country	60/1780403
clusij	milton	0
clusij	shakespeare	0
clusij	corpus	244/35690052
porcelane	country	60/1780403
porcelane	milton	0
porcelane	shakespeare	0
porcelane	corpus	88/35690052
ricius	country	60/1780403
ricius	milton	0
ricius	shakespeare	0
ricius	corpus	81/35690052
latin	country	509/1780403
latin	milton	63/332927
latin	shakespeare	1/686328
latin	corpus	2291/35690052
riffe	country	33/1780403
riffe	milton	0
riffe	shakespeare	0
riffe	corpus	72/35690052
trochisci	country	33/1780403
trochisci	milton	0
trochisci	shakespeare	0
trochisci	corpus	35/35690052
macau	country	58/1780403
macau	milton	0
macau	shakespeare	0
macau	corpus	106/35690052
prefertur	country	44/1780403
prefertur	milton	0
prefertur	shakespeare	0
prefertur	corpus	132/35690052
rouer	country	57/1780403
rouer	milton	0
rouer	shakespeare	1/686328
rouer	corpus	107/35690052
tamerlane	country	234/1780403
tamerlane	milton	0
tamerlane	shakespeare	0
tamerlane	corpus	546/35690052
wort	country	144/1780403
wort	milton	0
wort	shakespeare	1/686328
wort	corpus	507/35690052
icoan	country	56/1780403
icoan	milton	0
icoan	shakespeare	0
icoan	corpus	78/35690052
machina	country	100/1780403
machina	milton	3/332927
machina	shakespeare	0
machina	corpus	112/35690052
turnor	country	100/1780403
turnor	milton	0
turnor	shakespeare	0
turnor	corpus	456/35690052
xunchi	country	55/1780403
xunchi	milton	0
xunchi	shakespeare	0
xunchi	corpus	73/35690052
calix	country	98/1780403
calix	milton	0
calix	shakespeare	0
calix	corpus	156/35690052
caule	country	54/1780403
caule	milton	0
caule	shakespeare	0
caule	corpus	207/35690052
varella	country	41/1780403
varella	milton	0
varella	shakespeare	0
varella	corpus	64/35690052
ranunculus	country	71/1780403
ranunculus	milton	0
ranunculus	shakespeare	0
ranunculus	corpus	176/35690052
echinatum	country	21/1780403
echinatum	milton	0
echinatum	shakespeare	0
echinatum	corpus	21/35690052
alcidor	country	21/1780403
alcidor	milton	0
alcidor	shakespeare	0
alcidor	corpus	21/35690052
quansi	country	21/1780403
quansi	milton	0
quansi	shakespeare	0
quansi	corpus	21/35690052
sassaphras	country	21/1780403
sassaphras	milton	0
sassaphras	shakespeare	0
sassaphras	corpus	21/35690052
chapter	country	455/1780403
chapter	milton	28/332927
chapter	shakespeare	1/686328
chapter	corpus	4335/35690052
chinos	country	52/1780403
chinos	milton	0
chinos	shakespeare	0
chinos	corpus	76/35690052
bezeneger	country	39/1780403
bezeneger	milton	0
bezeneger	shakespeare	0
bezeneger	corpus	74/35690052
kindes	country	441/1780403
kindes	milton	5/332927
kindes	shakespeare	5/686328
