word	collection	value
abdelmelec	milton	0
abdelmelec	shakespeare	0
abdelmelec	corpus	32/35690052
count	country	691/2678470
count	milton	50/332927
count	shakespeare	129/686328
count	corpus	8330/35690052
joanna	country	142/2678470
joanna	milton	0
joanna	shakespeare	0
joanna	corpus	439/35690052
maroco	country	79/2678470
maroco	milton	0
maroco	shakespeare	0
maroco	corpus	115/35690052
royne	country	78/2678470
royne	milton	0
royne	shakespeare	0
royne	corpus	350/35690052
vertues	country	674/2678470
vertues	milton	39/332927
vertues	shakespeare	77/686328
vertues	corpus	5047/35690052
faria	country	315/2678470
faria	milton	0
faria	shakespeare	0
faria	corpus	688/35690052
coimbra	country	137/2678470
coimbra	milton	0
coimbra	shakespeare	0
coimbra	corpus	224/35690052
cardinal	country	657/2678470
cardinal	milton	11/332927
cardinal	shakespeare	1/686328
cardinal	corpus	9483/35690052
abrinzias	country	30/2678470
abrinzias	milton	0
abrinzias	shakespeare	0
abrinzias	corpus	30/35690052
xauerius	country	75/2678470
xauerius	milton	0
xauerius	shakespeare	0
xauerius	corpus	311/35690052
elle	country	307/2678470
elle	milton	0
elle	shakespeare	0
elle	corpus	1270/35690052
mulei	country	42/2678470
mulei	milton	0
mulei	shakespeare	0
mulei	corpus	50/35690052
bound	country	640/2678470
bound	milton	102/332927
bound	shakespeare	225/686328
bound	corpus	6925/35690052
mangal	country	54/2678470
mangal	milton	0
mangal	shakespeare	0
mangal	corpus	112/35690052
garcia	country	182/2678470
garcia	milton	0
garcia	shakespeare	0
garcia	corpus	637/35690052
almanzaira	country	28/2678470
almanzaira	milton	0
almanzaira	shakespeare	0
almanzaira	corpus	28/35690052
kyntals	country	28/2678470
kyntals	milton	0
kyntals	shakespeare	0
kyntals	corpus	28/35690052
persia	country	611/2678470
persia	milton	9/332927
persia	shakespeare	1/686328
persia	corpus	5218/35690052
navarre	country	607/2678470
navarre	milton	0
navarre	shakespeare	0
navarre	corpus	3764/35690052
shoulde	country	601/2678470
shoulde	milton	0
shoulde	shakespeare	4/686328
shoulde	corpus	2718/35690052
matters	country	601/2678470
matters	milton	83/332927
matters	shakespeare	35/686328
matters	corpus	8593/35690052
zarago	country	69/2678470
zarago	milton	0
zarago	shakespeare	0
zarago	corpus	290/35690052
moluc	country	39/2678470
moluc	milton	0
moluc	shakespeare	0
moluc	corpus	41/35690052
tercera	country	175/2678470
tercera	milton	0
tercera	shakespeare	0
tercera	corpus	376/35690052
knights	country	592/2678470
knights	milton	13/332927
knights	shakespeare	49/686328
knights	corpus	5449/35690052
guadiana	country	90/2678470
guadiana	milton	0
guadiana	shakespeare	0
guadiana	corpus	179/35690052
whiche	country	586/2678470
whiche	milton	0
whiche	shakespeare	0
whiche	corpus	5763/35690052
bassora	country	173/2678470
bassora	milton	0
bassora	shakespeare	0
