word	collection	value
deut	shakespeare	0
deut	corpus	1992/35690052
londe	country	151/5934629
londe	milton	0
londe	shakespeare	0
londe	corpus	261/35690052
paul	country	1710/5934629
paul	milton	49/332927
paul	shakespeare	6/686328
paul	corpus	5423/35690052
grete	country	255/5934629
grete	milton	0
grete	shakespeare	0
grete	corpus	367/35690052
seleucus	country	492/5934629
seleucus	milton	0
seleucus	shakespeare	4/686328
seleucus	corpus	644/35690052
osiris	country	490/5934629
osiris	milton	6/332927
osiris	shakespeare	0
osiris	corpus	671/35690052
soule	country	1642/5934629
soule	milton	15/332927
soule	shakespeare	565/686328
soule	corpus	3100/35690052
whiche	country	1639/5934629
whiche	milton	0
whiche	shakespeare	0
whiche	corpus	5763/35690052
hym	country	1626/5934629
hym	milton	0
hym	shakespeare	1/686328
hym	corpus	4913/35690052
vales	country	758/5934629
vales	milton	6/332927
vales	shakespeare	1/686328
vales	corpus	853/35690052
zoan	country	105/5934629
zoan	milton	0
zoan	shakespeare	0
zoan	corpus	106/35690052
hebrewes	country	745/5934629
hebrewes	milton	0
hebrewes	shakespeare	0
hebrewes	corpus	901/35690052
amenophis	country	103/5934629
amenophis	milton	0
amenophis	shakespeare	0
amenophis	corpus	105/35690052
soul	country	1564/5934629
soul	milton	86/332927
soul	shakespeare	4/686328
soul	corpus	3972/35690052
sense	country	1556/5934629
sense	milton	82/332927
sense	shakespeare	69/686328
sense	corpus	4509/35690052
behold	country	1554/5934629
behold	milton	90/332927
behold	shakespeare	212/686328
behold	corpus	3848/35690052
verse	country	1536/5934629
verse	milton	34/332927
verse	shakespeare	36/686328
verse	corpus	2242/35690052
yeue	country	70/5934629
yeue	milton	0
yeue	shakespeare	0
yeue	corpus	70/35690052
deliverance	country	1528/5934629
deliverance	milton	19/332927
deliverance	shakespeare	0
deliverance	corpus	2089/35690052
become	country	1527/5934629
become	milton	47/332927
become	shakespeare	181/686328
become	corpus	8145/35690052
beast	country	1517/5934629
beast	milton	54/332927
beast	shakespeare	92/686328
beast	corpus	3691/35690052
est	country	1515/5934629
est	milton	145/332927
est	shakespeare	17/686328
est	corpus	8252/35690052
eat	country	1511/5934629
eat	milton	31/332927
eat	shakespeare	23/686328
eat	corpus	4451/35690052
cambyses	country	311/5934629
cambyses	milton	3/332927
cambyses	shakespeare	1/686328
cambyses	corpus	373/35690052
hircanus	country	228/5934629
hircanus	milton	1/332927
hircanus	shakespeare	0
hircanus	corpus	259/35690052
kadesh	country	98/5934629
kadesh	milton	0
kadesh	shakespeare	0
kadesh	corpus	100/35690052
face	country	1494/5934629
face	milton	54/332927
face	shakespeare	565/686328
face	corpus	5213/35690052
sowdan	country	97/5934629
sowdan	milton	0
sowdan	shakespeare	0
sowdan	corpus	99/35690052
iudah	country	698/5934629
iudah	milton	0
iudah	shakespeare	0
iudah	corpus	838/35690052
nilus	country	1465/5934629
nilus	milton	1/332927
nilus	shakespeare	1/686328
nilus	corpus	2222/35690052
manethon	country	127/5934629
manethon	milton	0
manethon	shakespeare	0
manethon	corpus	132/35690052
iesus	country	1447/5934629
iesus	milton	1/332927
iesus	shakespeare	3/686328
iesus	corpus	2727/35690052
melitius	country	66/5934629
melitius	milton	0
melitius	shakespeare	0
melitius	corpus	66/35690052
iethro	country	126/5934629
iethro	milton	0
iethro	shakespeare	0
iethro	corpus	138/35690052
nile	country	677/5934629
nile	milton	5/332927
nile	shakespeare	0
nile	corpus	956/35690052
aegyptus	country	125/5934629
aegyptus	milton	1/332927
aegyptus	shakespeare	0
aegyptus	corpus	139/35690052
lande	country	1427/5934629
lande	milton	0
lande	shakespeare	0
lande	corpus	3137/35690052
scriptures	country	1424/5934629
scriptures	milton	16/332927
scriptures	shakespeare	1/686328
scriptures	corpus	2845/35690052
worke	country	1423/5934629
worke	milton	13/332927
worke	shakespeare	238/686328
worke	corpus	4699/35690052
simler	country	216/5934629
simler	milton	0
simler	shakespeare	0
simler	corpus	224/35690052
necho	country	163/5934629
necho	milton	0
necho	shakespeare	0
necho	corpus	176/35690052
apostles	country	1408/5934629
apostles	milton	29/332927
apostles	shakespeare	1/686328
apostles	corpus	3896/35690052
esay	country	664/5934629
esay	milton	0
esay	shakespeare	0
esay	corpus	805/35690052
