word	collection	value
fernandiz	shakespeare	0
fernandiz	corpus	2/35690052
trascoso	country	2/24360
trascoso	milton	0
trascoso	shakespeare	0
trascoso	corpus	2/35690052
tsabinda	country	2/24360
tsabinda	milton	0
tsabinda	shakespeare	0
tsabinda	corpus	2/35690052
sataque	country	2/24360
sataque	milton	0
sataque	shakespeare	0
sataque	corpus	2/35690052
tsiosa	country	2/24360
tsiosa	milton	0
tsiosa	shakespeare	0
tsiosa	corpus	2/35690052
migiel	country	2/24360
migiel	milton	0
migiel	shakespeare	0
migiel	corpus	2/35690052
mandarines	country	9/24360
mandarines	milton	0
mandarines	shakespeare	0
mandarines	corpus	87/35690052
scythopolis	country	5/24360
scythopolis	milton	0
scythopolis	shakespeare	0
scythopolis	corpus	35/35690052
chinese	country	37/24360
chinese	milton	0
chinese	shakespeare	0
chinese	corpus	938/35690052
ninche	country	4/24360
ninche	milton	0
ninche	shakespeare	0
ninche	corpus	22/35690052
tamoyes	country	4/24360
tamoyes	milton	0
tamoyes	shakespeare	0
tamoyes	corpus	39/35690052
xan	country	3/24360
xan	milton	0
xan	shakespeare	0
xan	corpus	13/35690052
safa	country	3/24360
safa	milton	0
safa	shakespeare	0
safa	corpus	10/35690052
leao	country	3/24360
leao	milton	0
leao	shakespeare	0
leao	corpus	8/35690052
yupi	country	3/24360
yupi	milton	0
yupi	shakespeare	0
yupi	corpus	10/35690052
pelipaouan	country	3/24360
pelipaouan	milton	0
pelipaouan	shakespeare	0
pelipaouan	corpus	18/35690052
xantum	country	3/24360
xantum	milton	0
xantum	shakespeare	0
xantum	corpus	20/35690052
vpauasou	country	3/24360
vpauasou	milton	0
vpauasou	shakespeare	0
vpauasou	corpus	9/35690052
iapanners	country	7/24360
iapanners	milton	0
iapanners	shakespeare	0
iapanners	corpus	94/35690052
xantung	country	5/24360
xantung	milton	0
xantung	shakespeare	0
xantung	corpus	47/35690052
mandarine	country	5/24360
mandarine	milton	0
mandarine	shakespeare	0
mandarine	corpus	59/35690052
chiumval	country	2/24360
chiumval	milton	0
chiumval	shakespeare	0
chiumval	corpus	4/35690052
jamnia	country	2/24360
jamnia	milton	0
jamnia	shakespeare	0
jamnia	corpus	8/35690052
begabri	country	2/24360
begabri	milton	0
begabri	shakespeare	0
begabri	corpus	3/35690052
ammaus	country	2/24360
ammaus	milton	0
ammaus	shakespeare	0
ammaus	corpus	3/35690052
marissa	country	2/24360
marissa	milton	0
marissa	shakespeare	0
marissa	corpus	7/35690052
crocala	country	2/24360
crocala	milton	0
crocala	shakespeare	0
crocala	corpus	6/35690052
yalo	country	2/24360
yalo	milton	0
yalo	shakespeare	0
yalo	corpus	4/35690052
giapponeses	country	2/24360
giapponeses	milton	0
giapponeses	shakespeare	0
giapponeses	corpus	3/35690052
coreatis	country	2/24360
coreatis	milton	0
