word	collection	value
dukes	corpus	5211/35690052
naples	country	2708/9174123
naples	milton	2/332927
naples	shakespeare	31/686328
naples	corpus	6385/35690052
clarence	country	407/9174123
clarence	milton	0
clarence	shakespeare	99/686328
clarence	corpus	685/35690052
anno	country	2658/9174123
anno	milton	26/332927
anno	shakespeare	1/686328
anno	corpus	8186/35690052
mazarine	country	404/9174123
mazarine	milton	5/332927
mazarine	shakespeare	0
mazarine	corpus	614/35690052
alonso	country	780/9174123
alonso	milton	0
alonso	shakespeare	2/686328
alonso	corpus	3004/35690052
conde	country	1246/9174123
conde	milton	2/332927
conde	shakespeare	0
conde	corpus	2140/35690052
granted	country	2628/9174123
granted	milton	47/332927
granted	shakespeare	24/686328
granted	corpus	7754/35690052
meruine	country	171/9174123
meruine	milton	0
meruine	shakespeare	0
meruine	corpus	182/35690052
johnn	country	170/9174123
johnn	milton	0
johnn	shakespeare	0
johnn	corpus	171/35690052
matters	country	2559/9174123
matters	milton	83/332927
matters	shakespeare	35/686328
matters	corpus	8593/35690052
landis	country	167/9174123
landis	milton	0
landis	shakespeare	0
landis	corpus	168/35690052
daulphin	country	386/9174123
daulphin	milton	0
daulphin	shakespeare	1/686328
daulphin	corpus	411/35690052
churches	country	2532/9174123
churches	milton	51/332927
churches	shakespeare	8/686328
churches	corpus	8945/35690052
yame	country	165/9174123
yame	milton	0
yame	shakespeare	1/686328
yame	corpus	167/35690052
returnit	country	115/9174123
returnit	milton	0
returnit	shakespeare	0
returnit	corpus	115/35690052
archbishop	country	2491/9174123
archbishop	milton	35/332927
archbishop	shakespeare	16/686328
archbishop	corpus	5738/35690052
les	country	2472/9174123
les	milton	1/332927
les	shakespeare	13/686328
les	corpus	3190/35690052
catholick	country	2473/9174123
catholick	milton	9/332927
catholick	shakespeare	0
catholick	corpus	6911/35690052
venetians	country	2463/9174123
venetians	milton	1/332927
venetians	shakespeare	1/686328
venetians	corpus	4843/35690052
business	country	2449/9174123
business	milton	31/332927
business	shakespeare	4/686328
business	corpus	6926/35690052
sindry	country	111/9174123
sindry	milton	0
sindry	shakespeare	0
sindry	corpus	111/35690052
issue	country	2422/9174123
issue	milton	21/332927
issue	shakespeare	125/686328
issue	corpus	5611/35690052
ils	country	707/9174123
ils	milton	0
ils	shakespeare	2/686328
ils	corpus	1005/35690052
mareschal	country	700/9174123
mareschal	milton	0
mareschal	shakespeare	0
mareschal	corpus	946/35690052
normandy	country	2363/9174123
normandy	milton	22/332927
normandy	shakespeare	1/686328
normandy	corpus	3747/35690052
battall	country	154/9174123
battall	milton	0
battall	shakespeare	0
battall	corpus	155/35690052
auec	country	270/9174123
auec	milton	0
auec	shakespeare	0
auec	corpus	359/35690052
auoit	country	357/9174123
auoit	milton	0
auoit	shakespeare	0
auoit	corpus	485/35690052
royne	country	269/9174123
royne	milton	0
royne	shakespeare	0
royne	corpus	350/35690052
hugonots	country	687/9174123
hugonots	milton	0
hugonots	shakespeare	0
hugonots	corpus	945/35690052
cumyng	country	106/9174123
cumyng	milton	0
cumyng	shakespeare	0
cumyng	corpus	106/35690052
hincmarus	country	151/9174123
hincmarus	milton	0
hincmarus	shakespeare	0
hincmarus	corpus	167/35690052
royaume	country	263/9174123
royaume	milton	0
royaume	shakespeare	0
royaume	corpus	317/35690052
ypod	country	104/9174123
ypod	milton	0
ypod	shakespeare	0
ypod	corpus	104/35690052
aucune	country	148/9174123
aucune	milton	0
aucune	shakespeare	1/686328
aucune	corpus	178/35690052
