word	collection	value
zwatia	corpus	6/35690052
liampoo	country	15/337384
liampoo	milton	0
liampoo	shakespeare	0
liampoo	corpus	133/35690052
caetes	country	11/337384
caetes	milton	0
caetes	shakespeare	0
caetes	corpus	33/35690052
nerius	country	19/337384
nerius	milton	0
nerius	shakespeare	0
nerius	corpus	51/35690052
sacay	country	8/337384
sacay	milton	0
sacay	shakespeare	0
sacay	corpus	10/35690052
plen	country	14/337384
plen	milton	0
plen	shakespeare	0
plen	corpus	49/35690052
persia	country	118/337384
persia	milton	9/332927
persia	shakespeare	1/686328
persia	corpus	5218/35690052
georgio	country	24/337384
georgio	milton	0
georgio	shakespeare	0
georgio	corpus	124/35690052
eucharistical	country	24/337384
eucharistical	milton	0
eucharistical	shakespeare	0
eucharistical	corpus	57/35690052
giapan	country	24/337384
giapan	milton	0
giapan	shakespeare	0
giapan	corpus	64/35690052
litere	country	10/337384
litere	milton	0
litere	shakespeare	0
litere	corpus	31/35690052
nangoia	country	10/337384
nangoia	milton	0
nangoia	shakespeare	0
nangoia	corpus	19/35690052
sexcent	country	10/337384
sexcent	milton	0
sexcent	shakespeare	0
sexcent	corpus	30/35690052
sextentesimo	country	10/337384
sextentesimo	milton	0
sextentesimo	shakespeare	0
sextentesimo	corpus	30/35690052
warda	country	10/337384
warda	milton	0
warda	shakespeare	0
warda	corpus	30/35690052
satisfact	country	10/337384
satisfact	milton	0
satisfact	shakespeare	0
satisfact	corpus	30/35690052
junk	country	13/337384
junk	milton	0
junk	shakespeare	0
junk	corpus	191/35690052
jesuitarum	country	17/337384
jesuitarum	milton	0
jesuitarum	shakespeare	0
jesuitarum	corpus	38/35690052
miaco	country	17/337384
miaco	milton	0
miaco	shakespeare	0
miaco	corpus	29/35690052
per	country	110/337384
per	milton	158/332927
per	shakespeare	7/686328
per	corpus	5685/35690052
chapter	country	110/337384
chapter	milton	28/332927
chapter	shakespeare	1/686328
chapter	corpus	4335/35690052
matsendeyro	country	5/337384
matsendeyro	milton	0
matsendeyro	shakespeare	0
matsendeyro	corpus	5/35690052
ochio	country	5/337384
ochio	milton	0
ochio	shakespeare	0
ochio	corpus	5/35690052
saykock	country	5/337384
saykock	milton	0
saykock	shakespeare	0
saykock	corpus	5/35690052
datoe	country	5/337384
datoe	milton	0
datoe	shakespeare	0
datoe	corpus	5/35690052
chirkock	country	5/337384
chirkock	milton	0
chirkock	shakespeare	0
chirkock	corpus	5/35690052
taycko	country	7/337384
taycko	milton	0
taycko	shakespeare	0
taycko	corpus	12/35690052
jappan	country	7/337384
jappan	milton	0
jappan	shakespeare	0
jappan	corpus	9/35690052
bontij	country	7/337384
bontij	milton	0
bontij	shakespeare	0
bontij	corpus	9/35690052
iaquatra	country	7/337384
iaquatra	milton	0
iaquatra	shakespeare	0
iaquatra	corpus	11/35690052
fingeandono	country	7/337384
fingeandono	milton	0
fingeandono	shakespeare	0
fingeandono	corpus	14/35690052
japonneses	country	7/337384
japonneses	milton	0
japonneses	shakespeare	0
japonneses	corpus	8/35690052
ulterius	country	16/337384
ulterius	milton	0
ulterius	shakespeare	0
ulterius	corpus	58/35690052
illinois	country	12/337384
illinois	milton	0
illinois	shakespeare	0
illinois	corpus	43/35690052
parochia	country	12/337384
parochia	milton	0
parochia	shakespeare	0
parochia	corpus	37/35690052
osquy	country	12/337384
osquy	milton	0
osquy	shakespeare	0
osquy	corpus	26/35690052
indiis	country	9/337384
indiis	milton	0
indiis	shakespeare	0
indiis	corpus	32/35690052
coxinga	country	9/337384
coxinga	milton	0
coxinga	shakespeare	0
coxinga	corpus	58/35690052
society	country	102/337384
society	milton	17/332927
society	shakespeare	11/686328
society	corpus	2565/35690052
paten	country	30/337384
paten	milton	0
paten	shakespeare	0
paten	corpus	100/35690052
malacca	country	101/337384
malacca	milton	0
malacca	shakespeare	0
malacca	corpus	995/35690052
anno	country	99/337384
anno	milton	26/332927
anno	shakespeare	1/686328
anno	corpus	8186/35690052
